Compound_ID	name	evidence_score	MW	all_possibles
	input_mz	match_form	mz_difference
	268.2034	M-C3H4O2+H[1+]	-0.0026
	296.2349	M-CO2+H[1+]	-0.0024
	312.2293	M-CO+H[1+]	-0.0028
	342.2253	M(S34)+H[1+]	0.0024
	268.2035	M-C3H4O2+H[1+]	-0.0025
	312.2295	M-CO+H[1+]	-0.0026
	378.1862	M+K[1+]	0.0036
	296.2354	M-CO2+H[1+]	-0.0019
	341.2327	M(C13)+H[1+]	0.0022
	294.2235	M-HCOOH+H[1+]	0.0018
	312.2299	M-CO+H[1+]	-0.0022
	296.2352	M-CO2+H[1+]	-0.0021
	296.2355	M-CO2+H[1+]	-0.0018
	294.2188	M-HCOOH+H[1+]	-0.0029
	341.2317	M(C13)+H[1+]	0.0012
	362.2097	M+Na[1+]	0.0006
	268.2036	M-C3H4O2+H[1+]	-0.0024
	398.1864	M+NaCl[1+]	0.0007
	378.1854	M+K[1+]	0.0028
	268.2037	M-C3H4O2+H[1+]	-0.0023
	322.2166	M-H2O+H[1+]	0.0001
	268.2041	M-C3H4O2+H[1+]	-0.0019
	296.2348	M-CO2+H[1+]	-0.0025
	296.2357	M-CO2+H[1+]	-0.0016
	268.2043	M-C3H4O2+H[1+]	-0.0017
	268.204	M-C3H4O2+H[1+]	-0.002
	322.2159	M-H2O+H[1+]	-0.0006
	312.2294	M-CO+H[1+]	-0.0027
	378.1853	M+K[1+]	0.0027
	342.2231	M(S34)+H[1+]	0.0002
	268.2038	M-C3H4O2+H[1+]	-0.0022
CE6474		17	335.2222	among possibles CE5343,CE7172,CE6246,CE6240,CE7096,CE6251,CE5815,CE5944,CE5179,CE6474,CE2445,CE2446,CE2449
	318.2169	M-H2O+H[1+]	-0.002
	420.1942	M+HCOOK[1+]	0.0034
	336.2296	M+H[1+]	0.0001
	336.2276	M+H[1+]	-0.0019
	290.2221	M-HCOOH+H[1+]	-0.002
	290.2245	M-HCOOH+H[1+]	0.0004
	420.187	M+HCOOK[1+]	-0.0038
	354.2372	M+H2O+H[1+]	-0.0029
	318.2174	M-H2O+H[1+]	-0.0015
	354.2381	M+H2O+H[1+]	-0.002
	319.2005	M-NH3+H[1+]	-0.0025
	336.2278	M+H[1+]	-0.0017
	300.2065	M-H4O2+H[1+]	-0.0018
	268.2401	M-HCOONa+H[1+]	-0.002
	264.2087	M-C3H4O2+H[1+]	0.0003
	319.2011	M-NH3+H[1+]	-0.0019
	420.1888	M+HCOOK[1+]	-0.002
	318.2168	M-H2O+H[1+]	-0.0021
	268.2404	M-HCOONa+H[1+]	-0.0017
	292.2373	M-CO2+H[1+]	-0.0024
	300.2066	M-H4O2+H[1+]	-0.0017
	354.2393	M+H2O+H[1+]	-0.0008
	290.225	M-HCOOH+H[1+]	0.0009
	290.2237	M-HCOOH+H[1+]	-0.0004
	336.2271	M+H[1+]	-0.0024
	420.1894	M+HCOOK[1+]	-0.0014
	358.2122	M+Na[1+]	0.0007
	354.2402	M+H2O+H[1+]	0.0001
	358.2092	M+Na[1+]	-0.0023
	290.2222	M-HCOOH+H[1+]	-0.0019
	264.2086	M-C3H4O2+H[1+]	0.0002
	318.2172	M-H2O+H[1+]	-0.0017
	358.2133	M+Na[1+]	0.0018
	354.2376	M+H2O+H[1+]	-0.0025
	420.1893	M+HCOOK[1+]	-0.0015
	300.2064	M-H4O2+H[1+]	-0.0019
	268.2398	M-HCOONa+H[1+]	-0.0023
	318.2171	M-H2O+H[1+]	-0.0018
	336.2275	M+H[1+]	-0.002
	336.2293	M+H[1+]	-0.0002
	300.2063	M-H4O2+H[1+]	-0.002
	354.2431	M+H2O+H[1+]	0.003
	336.2272	M+H[1+]	-0.0023
	268.2405	M-HCOONa+H[1+]	-0.0016
	268.2415	M-HCOONa+H[1+]	-0.0006
	290.2235	M-HCOOH+H[1+]	-0.0006
	336.2268	M+H[1+]	-0.0027
	354.2426	M+H2O+H[1+]	0.0025
	336.2274	M+H[1+]	-0.0021
	290.2239	M-HCOOH+H[1+]	-0.0002
	354.238	M+H2O+H[1+]	-0.0021
	354.2383	M+H2O+H[1+]	-0.0018
	268.2402	M-HCOONa+H[1+]	-0.0019
	354.2377	M+H2O+H[1+]	-0.0024
	336.2277	M+H[1+]	-0.0018
	268.24	M-HCOONa+H[1+]	-0.0021
	292.2418	M-CO2+H[1+]	0.0021
	336.2282	M+H[1+]	-0.0013
C16662	L-alpha-Acetyl-N,N-dinormethadol; dinor-LAAM	21	325.2042
	364.1646	M+K[1+]	-0.0024
	282.2197	M-CO2+H[1+]	-0.002
	325.202	M[1+]	-0.0022
	282.2195	M-CO2+H[1+]	-0.0022
	254.1906	M-C3H4O2+H[1+]	0.0002
	410.1712	M+HCOOK[1+]	-0.0016
	325.204	M[1+]	-0.0002
	410.1709	M+HCOOK[1+]	-0.0019
	410.1751	M+HCOOK[1+]	0.0023
	348.1931	M+Na[1+]	-0.0004
	348.1922	M+Na[1+]	-0.0013
	325.2017	M[1+]	-0.0025
	394.1974	M+HCOONa[1+]	-0.0015
	308.198	M-H2O+H[1+]	-0.0029
	254.1881	M-C3H4O2+H[1+]	-0.0023
	254.1893	M-C3H4O2+H[1+]	-0.0011
	282.22	M-CO2+H[1+]	-0.0017
	410.1718	M+HCOOK[1+]	-0.001
	326.2094	M+H[1+]	-0.0021
	282.2201	M-CO2+H[1+]	-0.0016
	298.2151	M-CO+H[1+]	-0.0014
	254.188	M-C3H4O2+H[1+]	-0.0024
	282.2196	M-CO2+H[1+]	-0.0021
	326.2084	M+H[1+]	-0.0031
	282.2192	M-CO2+H[1+]	-0.0025
	282.2205	M-CO2+H[1+]	-0.0012
	282.2194	M-CO2+H[1+]	-0.0023
	282.2189	M-CO2+H[1+]	-0.0028
	348.194	M+Na[1+]	0.0005
	282.2193	M-CO2+H[1+]	-0.0024
	254.1882	M-C3H4O2+H[1+]	-0.0022
	348.1906	M+Na[1+]	-0.0029
	282.2198	M-CO2+H[1+]	-0.0019
	254.1883	M-C3H4O2+H[1+]	-0.0021
C03242	(8Z,11Z,14Z)-Icosatrienoic acid; Dihomo-gamma-linolenic acid; (Z,Z,Z)-8,11,14-Eicosatrienoic acid; (Z,Z,Z)-8,11,14-Icosatrienoic acid; (Z,Z,Z)-8,11,14-Eicosatrienoate; (Z,Z,Z)-8,11,14-Icosatrienoate; 8,11,14-Eicosatrienoate; 8,11,14-Icosatrienoate	18	306.2559
	375.2532	M+HCOONa[1+]	0.0026
	309.2633	M(Cl37)+H[1+]	0.0029
	345.2153	M+K[1+]	-0.0034
	290.2356	M-NH3+H[1+]	-0.0011
	375.2514	M+HCOONa[1+]	0.0008
	329.2476	M+Na[1+]	0.0024
	154.1359	M+2H[2+]	0.0007
	309.2598	M(S34)+H[1+]	0.0008
	271.2424	M-H4O2+H[1+]	0.0004
	290.2375	M-NH3+H[1+]	0.0008
	306.2533	M[1+]	-0.0026
	154.1356	M+2H[2+]	0.0004
	290.2382	M-NH3+H[1+]	0.0015
	375.2521	M+HCOONa[1+]	0.0015
	309.2598	M(Cl37)+H[1+]	-0.0006
	345.2157	M+K[1+]	-0.003
C01712	(9E)-Octadecenoic acid; 9-Octadecenoic acid, (E)-; (E)-Oleic acid; D9-trans-Octadecenoic acid; 9-trans-Octadecenoic acid; trans-D9-Octadecenoic acid; trans-9-Octadecenoic acid; trans-Elaidic acid; trans-Oleic acid; Elaidic acid; Acide elaidique; Elaidinsaure	10	282.2559
	341.2203	M+NaCl[1+]	-0.0015
	266.2358	M-NH3+H[1+]	-0.0009
	282.2559	M[1+]	0.0
	282.255	M[1+]	-0.0009
	282.2551	M[1+]	-0.0008
	282.2554	M[1+]	-0.0005
	282.256	M[1+]	0.0001
	266.2374	M-NH3+H[1+]	0.0007
	282.2561	M[1+]	0.0002
	282.2558	M[1+]	-0.0001
	282.2557	M[1+]	-0.0002
	142.1352	M+2H[2+]	-0.0
	282.2555	M[1+]	-0.0004
	142.1366	M+2H[2+]	0.0014
	282.2553	M[1+]	-0.0006
	282.2556	M[1+]	-0.0003
C05451	7alpha-Hydroxy-5beta-cholestan-3-one	11	402.3498	among possibles C03594,C15519,C15610,C06340,C05451,C05500,C05502,C13550
	421.3647	M+H2O+H[1+]	-0.003
	425.3356	M+Na[1+]	-0.0035
	405.3558	M(S34)+H[1+]	0.0029
	213.1744	M+H+Na[2+]	0.0012
	213.1731	M+H+Na[2+]	-0.0001
	421.3653	M+H2O+H[1+]	-0.0024
	425.3353	M+Na[1+]	-0.0038
	471.3399	M+HCOONa[1+]	-0.0046
	425.343	M+Na[1+]	0.0039
	405.3558	M(Cl37)+H[1+]	0.0015
	471.3449	M+HCOONa[1+]	0.0004
	213.172	M+H+Na[2+]	-0.0012
	405.3501	M(S34)+H[1+]	-0.0028
	425.3394	M+Na[1+]	0.0003
	441.3155	M+K[1+]	0.0029
	213.1721	M+H+Na[2+]	-0.0011
	213.1724	M+H+Na[2+]	-0.0008
	213.1729	M+H+Na[2+]	-0.0003
C00475	Cytidine	17	243.0855
	302.0492	M+NaCl[1+]	-0.0022
	198.0885	M-HCOOH+H[1+]	0.0011
	198.0875	M-HCOOH+H[1+]	0.0001
	198.0888	M-HCOOH+H[1+]	0.0014
	200.104	M-CO2+H[1+]	0.001
