m/z	retention time	p-value	statistic
117.07912	0.8640052	2.0	1000.0
208.14603	10.01803	2.0	1000.0
276.122	8.00098	2.0	1000.0
442.2282	9.887024	2.0	1000.0
278.16345	5.1340156	2.0	1000.0
834.5409	14.56005	0.03	2.1775608803004722
106.06334	6.0869775	2.0	1000.0
294.2671	9.997034	2.0	1000.0
359.35455	12.880972	2.0	1000.0
640.47424	14.254916	2.0	1000.0
569.7789	5.8339887	2.0	1000.0
311.10782	5.6000175	2.0	1000.0
420.1401	6.083988	2.0	1000.0
277.24078	10.58695	2.0	1000.0
159.05334	0.8450011	2.0	1000.0
224.10313	5.3120103	2.0	1000.0
726.42285	16.006931	2.0	1000.0
282.16714	4.0649705	2.0	1000.0
637.56476	14.01608	2.0	1000.0
292.25174	10.159027	2.0	1000.0
278.15186	13.122043	2.0	1000.0
418.26953	13.524936	2.0	1000.0
179.05804	4.4489813	2.0	1000.0
180.0779	8.54298	2.0	1000.0
370.3207	10.793957	2.0	1000.0
166.98824	7.5900373	2.0	1000.0
519.3319	12.022959	2.0	1000.0
194.14214	5.5319867	2.0	1000.0
280.21487	9.347003	2.0	1000.0
477.28552	11.925939	2.0	1000.0
296.23547	12.833985	2.0	1000.0
332.2922	14.221065	2.0	1000.0
180.12627	4.402993	2.0	1000.0
448.20743	5.3349786	2.0	1000.0
398.17276	5.042987	2.0	1000.0
630.48737	16.328037	2.0	1000.0
238.20464	8.4489975	2.0	1000.0
537.269	7.813977	2.0	1000.0
206.14194	4.5830073	2.0	1000.0
104.02632	4.4489813	2.0	1000.0
252.22049	9.12797	2.0	1000.0
317.2925	9.353024	2.0	1000.0
320.2332	12.338984	2.0	1000.0
152.0942	0.89000636	2.0	1000.0
486.22363	16.336939	2.0	1000.0
650.32745	13.0929165	2.0	1000.0
720.4947	13.265029	2.0	1000.0
342.21475	14.210962	2.0	1000.0
247.22975	10.278982	2.0	1000.0
368.1418	7.4619656	2.0	1000.0
415.3631	12.485962	2.0	1000.0
112.05238	7.434031	2.0	1000.0
193.193	8.634985	2.0	1000.0
322.26215	10.041015	2.0	1000.0
585.446	13.3030815	0.03	2.1775608803004722
495.33047	12.535035	2.0	1000.0
149.1051	1.0440046	2.0	1000.0
504.33658	14.43995	2.0	1000.0
259.17816	5.4829807	2.0	1000.0
224.18909	7.719975	2.0	1000.0
278.23602	9.52495	2.0	1000.0
809.5484	13.338975	2.0	1000.0
210.16191	9.096999	2.0	1000.0
478.21512	11.207023	2.0	1000.0
217.20412	6.3359942	2.0	1000.0
208.1309	3.8170106	2.0	1000.0
276.22943	12.028957	2.0	1000.0
443.3171	12.928078	2.0	1000.0
420.25113	13.777944	2.0	1000.0
112.05218	7.275944	2.0	1000.0
711.2573	14.395018	2.0	1000.0
235.15547	8.09202	2.0	1000.0
301.2948	10.503949	2.0	1000.0
619.42883	12.9780245	2.0	1000.0
778.8479	2.6839952	2.0	1000.0
290.18616	12.42691	2.0	1000.0
622.3349	10.669957	2.0	1000.0
575.4026	12.861955	2.0	1000.0
311.15253	11.354003	2.0	1000.0
320.28323	11.707023	2.0	1000.0
454.23553	13.508923	2.0	1000.0
112.05245	9.416015	2.0	1000.0
129.07883	0.834006	2.0	1000.0
480.33066	10.482947	2.0	1000.0
742.8318	0.876005	2.0	1000.0
720.49963	14.570926	2.0	1000.0
574.4051	14.30189	2.0	1000.0
250.20464	8.162052	2.0	1000.0
315.20483	5.821028	2.0	1000.0
158.08408	3.7130108	2.0	1000.0
593.47845	15.5639715	2.0	1000.0
318.27682	13.90196	2.0	1000.0
320.2333	13.056041	2.0	1000.0
369.27924	8.229003	2.0	1000.0
411.2757	8.553988	2.0	1000.0
241.10362	7.185042	2.0	1000.0
616.46704	16.096066	2.0	1000.0
295.1547	6.9199767	2.0	1000.0
662.45746	13.753939	2.0	1000.0
398.30054	14.326064	2.0	1000.0
625.3454	8.532991	2.0	1000.0
462.225	10.06694	2.0	1000.0
470.73053	5.54499	2.0	1000.0
429.16406	6.18098	2.0	1000.0
218.16713	8.274957	2.0	1000.0
163.09927	4.402993	2.0	1000.0
443.40588	13.13707	2.0	1000.0
706.4549	10.895997	2.0	1000.0
546.3752	13.328017	0.03	2.1775608803004722
720.49976	16.958006	2.0	1000.0
285.1366	10.5540285	2.0	1000.0
210.08945	7.6359873	2.0	1000.0
423.33493	11.818972	2.0	1000.0
779.85785	0.9159932	2.0	1000.0
546.3246	5.3820095	2.0	1000.0
466.19724	15.033083	2.0	1000.0
334.2069	12.974085	2.0	1000.0
707.5038	15.15091	2.0	1000.0
415.36328	12.651971	2.0	1000.0
148.1102	4.509013	2.0	1000.0
649.1302	10.755994	2.0	1000.0
129.04224	1.0889949	2.0	1000.0
199.22952	9.628953	2.0	1000.0
373.29504	13.966927	2.0	1000.0
150.08781	2.1590028	2.0	1000.0
484.2886	8.657994	2.0	1000.0
540.2097	6.5090194	2.0	1000.0
954.5841	15.53904	2.0	1000.0
183.0895	3.6400125	2.0	1000.0
342.21683	13.391078	2.0	1000.0
580.2322	16.113903	2.0	1000.0
682.4257	13.418955	2.0	1000.0
180.06712	3.2650123	2.0	1000.0
423.06506	6.431958	2.0	1000.0
300.15775	10.590966	2.0	1000.0
480.34857	16.333986	2.0	1000.0
588.4261	14.895018	2.0	1000.0
663.4546	12.835965	2.0	1000.0
413.29202	8.446014	2.0	1000.0
290.24576	12.698092	0.03	2.1775608803004722
210.08647	5.6569867	2.0	1000.0
362.30344	13.810049	2.0	1000.0
320.12354	6.018007	2.0	1000.0
183.05731	7.319031	2.0	1000.0
264.0974	9.269032	2.0	1000.0
330.20523	7.585984	2.0	1000.0
